000000	"Ai" đây tức là một kẻ ăn mày vậy. Anh ta chưa kịp quay đi thì đã thấy mấy con chó vàng chạy xồng xộc ra cứ nhảy xổ vào chân anh.
000001	"Anh mau cứu tôi!" những lời nói run sợ một cách đáng lạ lùng kia, ngay bây giờ, ngồi viết những dòng này, tôi thấy như bên tai vẫn còn văng vẳng!...
000002	"Anh đi đường cái quan" đi ba bước rồi dừng lại, nhìn... Dưới ruộng chiêm, tiếng mấy người đàn bà cười khúc khích. Chợt khách bộ hành cũng hát:
000003	"Anh đi đường cái quan" đáo để ấy mỉm cười đắc chí rồi đi.
000004	"Biết thế thì thịt quách gà đi lại được lợi cái ăn".
000005	"Cho vui!" Phúc bĩu môi nghĩ thầm. Anh muốn đuổi bạn đi ngay đi đâu thì đi, nhưng lại sợ trái luật đi hát! Và tự nhiên thấy Bích cũng ủng hộ:
000006	"Chích chích chích chích!", trong cái bàn tay thô bạo, con chim lại giẫy giụa kêu thất thanh. Giữa lúc ấy, trên cành cam ở đỉnh đầu thằng xe cũng có chim kêu choáng lên:
000007	"Chính phủ Bình dân vạn tuế!"
000008	"Chính vì sự quá lứa ấy mà tôi phải viết bài này, mà tôi mang các nhà kỹ nghệ viết văn dâm uế nên hãm bớt cái đà của các ông lại thì vừa, đừng để đến lúc công chúng phải nổi nóng công phẫn".
000009	"Chấp kinh tòng quyền!"...
000010	"Chết! Tối đến nơi rồi, mình không cố không xong".
000011	"Chỉ bực nỗi người ta giàu có, khó nghĩ lắm".
000012	"Chữa khoán bệnh lao, mười ngày khỏi hẳn" - cái giòng chữ đỏ trên vải trắng này trước cửa một hiệu thuốc mà các ngài đã biết, chắc hẳn cho đến chết, tôi cũng không quên.
000013	"Con có khóc, mẹ mới cho bú" nếu bấy nay họ chẳng đả động tới số tiền nhuận bút của anh, có lẽ chỉ bởi cớ anh không nói gì.
000014	"Cào cào giã gạo tao xem, Tao may quần áo tao đem cho cào. Canh rau cũng thể canh rau, Để ai cậy thế ỷ giàu mặc ai!"
000015	"Các người không lo! Những tù nhân này phải giải về sở Căn cước để xét căn cước xong thì được thả ngay".
000016	"Cái thằng cha này thế mà cũng hay hay. Vị tất nó đã khinh người hay đểu giả như mình vẫn tưởng. Dễ thường nó lại là người tốt, cao thượng, khổ sở nữa cũng chưa biết chừng".
000017	"Có ai ở nhà không hử cô?". May sao bữa ấy, cả cô lẫn chú nàng và mẹ nàng đều cùng có nhà cả.
000018	"Có thể phải đi ăn mày, thật thế!".
